,Country,Date of reporting,Age group,Confirmed cases,Confirmed fatalities
0,Italy,9 March2020,0-9,43,0
1,Italy,9 March2020,10-19,85,0
2,Italy,9 March2020,20-29,296,0
3,Italy,9 March2020,30-39,470,0
4,Italy,9 March2020,40-49,891,1
5,Italy,9 March2020,50-59,1453,3
6,Italy,9 March2020,60-69,1471,37
7,Italy,9 March2020,70-79,1785,114
8,Italy,9 March2020,80+,1532,202
9,Italy,12 March2020,0-9,63,0
10,Italy,12 March2020,10-19,118,0
11,Italy,12 March2020,20-29,511,0
12,Italy,12 March2020,30-39,819,1
13,Italy,12 March2020,40-49,1523,1
14,Italy,12 March2020,50-59,2480,14
15,Italy,12 March2020,60-69,2421,65
16,Italy,12 March2020,70-79,2849,274
17,Italy,12 March2020,80+,2533,430
18,Italy,19 March2020,0-9,205,0
19,Italy,19 March2020,10-19,270,0
20,Italy,19 March2020,20-29,1374,0
21,Italy,19 March2020,30-39,2525,9
22,Italy,19 March2020,40-49,4396,25
23,Italy,19 March2020,50-59,6834,83
24,Italy,19 March2020,60-69,6337,312
25,Italy,19 March2020,70-79,7121,1090
26,Italy,19 March2020,80+,6467,1528
27,Italy,26 March2020,0-9,428,0
28,Italy,26 March2020,10-19,512,0
29,Italy,26 March2020,20-29,2778,0
30,Italy,26 March2020,30-39,5033,17
31,Italy,26 March2020,40-49,9295,67
32,Italy,26 March2020,50-59,14508,243
33,Italy,26 March2020,60-69,13243,761
34,Italy,26 March2020,70-79,14198,2403
35,Italy,26 March2020,80+,13539,3310
36,Italy,2 April2020,0-9,693,0
37,Italy,2 April2020,10-19,931,0
38,Italy,2 April2020,20-29,4530,6
39,Italy,2 April2020,30-39,7466,29
40,Italy,2 April2020,40-49,13701,110
41,Italy,2 April2020,50-59,20975,479
42,Italy,2 April2020,60-69,18089,1448
43,Italy,2 April2020,70-79,19238,4196
44,Italy,2 April2020,80+,20608,6280
45,Italy,9 April2020,0-9,938,1
46,Italy,9 April2020,10-19,1432,0
47,Italy,9 April2020,20-29,6360,7
48,Italy,9 April2020,30-39,9956,36
49,Italy,9 April2020,40-49,17745,153
50,Italy,9 April2020,50-59,26391,638
51,Italy,9 April2020,60-69,21734,1957
52,Italy,9 April2020,70-79,22934,5366
53,Italy,9 April2020,80+,28478,8495
54,Italy,16 April2020,0-9,1123,1
55,Italy,16 April2020,10-19,1804,0
56,Italy,16 April2020,20-29,7737,7
57,Italy,16 April2020,30-39,11686,40
58,Italy,16 April2020,40-49,20519,178
59,Italy,16 April2020,50-59,29858,756
60,Italy,16 April2020,60-69,24040,2284
61,Italy,16 April2020,70-79,25717,6203
62,Italy,16 April2020,80+,36519,10525
63,Italy,23 April2020,0-9,1304,2
64,Italy,23 April2020,10-19,2146,0
65,Italy,23 April2020,20-29,8963,7
66,Italy,23 April2020,30-39,13137,48
67,Italy,23 April2020,40-49,22767,203
68,Italy,23 April2020,50-59,32524,861
69,Italy,23 April2020,60-69,25707,2576
70,Italy,23 April2020,70-79,27615,6882
71,Italy,23 April2020,80+,42862,12609
72,Italy,28 April2020,0-9,1478,2
73,Italy,28 April2020,10-19,2511,0
74,Italy,28 April2020,20-29,10377,8
75,Italy,28 April2020,30-39,14907,49
76,Italy,28 April2020,40-49,25644,224
77,Italy,28 April2020,50-59,35986,918
78,Italy,28 April2020,60-69,27880,2727
79,Italy,28 April2020,70-79,30158,7291
80,Italy,28 April2020,80+,50448,13996
81,Italy,7 May2020,0-9,1642,3
82,Italy,7 May2020,10-19,2908,0
83,Italy,7 May2020,20-29,11457,9
84,Italy,7 May2020,30-39,16189,54
85,Italy,7 May2020,40-49,27553,246
86,Italy,7 May2020,50-59,38399,993
87,Italy,7 May2020,60-69,29252,2976
88,Italy,7 May2020,70-79,31627,7849
89,Italy,7 May2020,80+,55020,15825
90,Italy,14 May2020,0-9,1774,3
91,Italy,14 May2020,10-19,3148,0
92,Italy,14 May2020,20-29,12115,12
93,Italy,14 May2020,30-39,16981,59
94,Italy,14 May2020,40-49,28627,258
95,Italy,14 May2020,50-59,39822,1063
96,Italy,14 May2020,60-69,30010,3127
97,Italy,14 May2020,70-79,32353,8221
98,Italy,14 May2020,80+,57192,16948
99,Italy,20 May2020,0-9,1851,4
100,Italy,20 May2020,10-19,3312,0
101,Italy,20 May2020,20-29,12599,14
102,Italy,20 May2020,30-39,17528,61
103,Italy,20 May2020,40-49,29390,268
104,Italy,20 May2020,50-59,40803,1101
105,Italy,20 May2020,60-69,30466,3219
106,Italy,20 May2020,70-79,32824,8447
107,Italy,20 May2020,80+,58380,17903
108,Italy,26 May2020,0-9,1919,4
109,Italy,26 May2020,10-19,3442,0
110,Italy,26 May2020,20-29,12933,12
111,Italy,26 May2020,30-39,17934,62
112,Italy,26 May2020,40-49,29942,273
113,Italy,26 May2020,50-59,41435,1109
114,Italy,26 May2020,60-69,30880,3259
115,Italy,26 May2020,70-79,33141,8562
116,Italy,26 May2020,80+,59134,18395
