,Country,Date of reporting,Age group,Confirmed cases,Confirmed fatalities
0,Spain,22 March2020,0-9,129,0
1,Spain,22 March2020,10-19,221,1
2,Spain,22 March2020,20-29,1285,4
3,Spain,22 March2020,30-39,2208,3
4,Spain,22 March2020,40-49,2919,9
5,Spain,22 March2020,50-59,3129,20
6,Spain,22 March2020,60-69,2916,63
7,Spain,22 March2020,70-79,3132,164
8,Spain,22 March2020,80+,3020,541
9,Spain,26 March2020,0-9,175,0
10,Spain,26 March2020,10-19,302,1
11,Spain,26 March2020,20-29,1932,4
12,Spain,26 March2020,30-39,3454,7
13,Spain,26 March2020,40-49,5045,19
14,Spain,26 March2020,50-59,5749,35
15,Spain,26 March2020,60-69,5397,114
16,Spain,26 March2020,70-79,5377,303
17,Spain,26 March2020,80+,5385,843
18,Spain,30 March2020,0-9,212,0
19,Spain,30 March2020,10-19,368,1
20,Spain,30 March2020,20-29,2883,6
21,Spain,30 March2020,30-39,5351,10
22,Spain,30 March2020,40-49,7965,36
23,Spain,30 March2020,50-59,9390,78
24,Spain,30 March2020,60-69,8744,232
25,Spain,30 March2020,70-79,8625,759
26,Spain,30 March2020,80+,8088,1662
27,Spain,2 April2020,0-9,250,0
28,Spain,2 April2020,10-19,434,1
29,Spain,2 April2020,20-29,3590,6
30,Spain,2 April2020,30-39,6853,18
31,Spain,2 April2020,40-49,10551,49
32,Spain,2 April2020,50-59,12722,131
33,Spain,2 April2020,60-69,11657,373
34,Spain,2 April2020,70-79,11368,1176
35,Spain,2 April2020,80+,11752,2607
36,Spain,9 April2020,0-9,285,1
37,Spain,9 April2020,10-19,588,1
38,Spain,9 April2020,20-29,5381,11
39,Spain,9 April2020,30-39,10341,24
40,Spain,9 April2020,40-49,16088,61
41,Spain,9 April2020,50-59,19836,197
42,Spain,9 April2020,60-69,17713,597
43,Spain,9 April2020,70-79,16957,1773
44,Spain,9 April2020,80+,19258,4064
45,Spain,16 April2020,0-9,423,1
46,Spain,16 April2020,10-19,734,2
47,Spain,16 April2020,20-29,6763,19
48,Spain,16 April2020,30-39,12466,37
49,Spain,16 April2020,40-49,19536,116
50,Spain,16 April2020,50-59,24471,312
51,Spain,16 April2020,60-69,21249,958
52,Spain,16 April2020,70-79,20287,2868
53,Spain,16 April2020,80+,27153,6480
54,Spain,23 April2020,0-9,502,2
55,Spain,23 April2020,10-19,869,3
56,Spain,23 April2020,20-29,7962,25
57,Spain,23 April2020,30-39,14304,50
58,Spain,23 April2020,40-49,22430,138
59,Spain,23 April2020,50-59,27795,400
60,Spain,23 April2020,60-69,23595,1149
61,Spain,23 April2020,70-79,22470,3374
62,Spain,23 April2020,80+,32760,7937
63,Spain,28 April2020,0-9,660,2
64,Spain,28 April2020,10-19,1206,4
65,Spain,28 April2020,20-29,11138,22
66,Spain,28 April2020,30-39,18924,55
67,Spain,28 April2020,40-49,29629,172
68,Spain,28 April2020,50-59,36423,497
69,Spain,28 April2020,60-69,30361,1387
70,Spain,28 April2020,70-79,29550,4012
71,Spain,28 April2020,80+,46975,9702
72,Spain,7 May2020,0-9,765,2
73,Spain,7 May2020,10-19,1398,5
74,Spain,7 May2020,20-29,12321,21
75,Spain,7 May2020,30-39,20759,57
76,Spain,7 May2020,40-49,32239,185
77,Spain,7 May2020,50-59,39418,569
78,Spain,7 May2020,60-69,32226,1541
79,Spain,7 May2020,70-79,30861,4320
80,Spain,7 May2020,80+,50457,10760
81,Spain,14 May2020,0-9,871,2
82,Spain,14 May2020,10-19,1619,5
83,Spain,14 May2020,20-29,13439,23
84,Spain,14 May2020,30-39,22643,62
85,Spain,14 May2020,40-49,35175,201
86,Spain,14 May2020,50-59,42874,610
87,Spain,14 May2020,60-69,34380,1693
88,Spain,14 May2020,70-79,32395,4628
89,Spain,14 May2020,80+,55699,11931
90,Spain,29 May2020,0-9,1123,3
91,Spain,29 May2020,10-19,2068,5
92,Spain,29 May2020,20-29,15272,24
93,Spain,29 May2020,30-39,24902,65
94,Spain,29 May2020,40-49,37970,218
95,Spain,29 May2020,50-59,45750,663
96,Spain,29 May2020,60-69,36355,1825
97,Spain,29 May2020,70-79,34294,4896
98,Spain,29 May2020,80+,61026,12886
